Date,Pond,Location,Replicate,Total_Cover_percentage,Plant_height,Taxa,Percentage,Treatment,Treatment2,Treatment3
8/1/22,123,Edge,1,90,NA,Coontail,0,Panel,Before,Before
8/1/22,123,Edge,1,90,NA,Elodea,0,Panel,Before,Before
8/1/22,123,Edge,1,90,NA,Millfoil,0,Panel,Before,Before
8/1/22,123,Edge,1,90,NA,Pondweed,0,Panel,Before,Before
8/1/22,123,Edge,1,90,NA,Water_marigold,100,Panel,Before,Before
8/1/22,123,Edge,1,90,NA,Potamogeton,0,Panel,Before,Before
8/1/22,123,Edge,1,90,NA,Emergent,0,Panel,Before,Before
8/1/22,123,Edge,2,100,NA,Coontail,0,Panel,Before,Before
8/1/22,123,Edge,2,100,NA,Elodea,0,Panel,Before,Before
8/1/22,123,Edge,2,100,NA,Millfoil,0,Panel,Before,Before
8/1/22,123,Edge,2,100,NA,Pondweed,95,Panel,Before,Before
8/1/22,123,Edge,2,100,NA,Water_marigold,5,Panel,Before,Before
8/1/22,123,Edge,2,100,NA,Potamogeton,0,Panel,Before,Before
8/1/22,123,Edge,2,100,NA,Emergent,0,Panel,Before,Before
8/1/22,123,Edge,3,95,NA,Coontail,0,Panel,Before,Before
8/1/22,123,Edge,3,95,NA,Elodea,0,Panel,Before,Before
8/1/22,123,Edge,3,95,NA,Millfoil,0,Panel,Before,Before
8/1/22,123,Edge,3,95,NA,Pondweed,95,Panel,Before,Before
8/1/22,123,Edge,3,95,NA,Water_marigold,5,Panel,Before,Before
8/1/22,123,Edge,3,95,NA,Potamogeton,0,Panel,Before,Before
8/1/22,123,Edge,3,95,NA,Emergent,0,Panel,Before,Before
8/1/22,123,Edge,4,100,NA,Coontail,0,Panel,Before,Before
8/1/22,123,Edge,4,100,NA,Elodea,0,Panel,Before,Before
8/1/22,123,Edge,4,100,NA,Millfoil,0,Panel,Before,Before
8/1/22,123,Edge,4,100,NA,Pondweed,95,Panel,Before,Before
8/1/22,123,Edge,4,100,NA,Water_marigold,5,Panel,Before,Before
8/1/22,123,Edge,4,100,NA,Potamogeton,0,Panel,Before,Before
8/1/22,123,Edge,4,100,NA,Emergent,0,Panel,Before,Before
8/1/22,123,Center,1,100,0.92,Coontail,0,Panel,Before,Before
8/1/22,123,Center,1,100,NA,Elodea,100,Panel,Before,Before
8/1/22,123,Center,1,100,NA,Millfoil,0,Panel,Before,Before
8/1/22,123,Center,1,100,NA,Pondweed,0,Panel,Before,Before
8/1/22,123,Center,1,100,NA,Water_marigold,0,Panel,Before,Before
8/1/22,123,Center,1,100,NA,Potamogeton,0,Panel,Before,Before
8/1/22,123,Center,1,100,NA,Emergent,0,Panel,Before,Before
8/1/22,123,Center,2,100,1.22,Coontail,0,Panel,Before,Before
8/1/22,123,Center,2,100,NA,Elodea,100,Panel,Before,Before
8/1/22,123,Center,2,100,NA,Millfoil,0,Panel,Before,Before
8/1/22,123,Center,2,100,NA,Pondweed,0,Panel,Before,Before
