Treatment,Treatment3,Pond,Location,Date,Coontail,Elodea,Milfoil,Pondweed,Water_marigold,Potamogeton,Emergent
Panel,Before,123,Edge,8/1/22,0,0,0,285,115,0,0
Panel,Before,123,Center,8/1/22,0,400,0,0,0,0,0
Panel,Before,124,Edge,8/1/22,0,30,0,0,270,0,0
Panel,Before,124,Center,8/1/22,0,400,0,0,0,0,0
Panel,Before,125,Edge,8/1/22,0,0,5,0,395,0,0
Panel,Before,125,Center,8/1/22,0,400,0,0,0,0,0
Control,Before,128,Edge,8/1/22,0,0,0,0,100,0,0
Control,Before,128,Center,8/1/22,0,400,0,0,0,0,0
Control,Before,131,Edge,8/1/22,0,0,0,0,100,0,0
Control,Before,131,Center,8/1/22,0,400,0,0,0,0,0
Control,Before,132,Edge,8/1/22,0,300,100,0,0,0,0
Control,Before,132,Center,8/1/22,0,400,0,0,0,0,0
Panel,Before,123,Edge,6/15/23,20,10,0,0,0,370,0
Panel,Before,123,Center,6/15/23,0,400,0,0,0,0,0
Panel,Before,124,Edge,6/15/23,0,60,50,0,270,20,0
Panel,Before,124,Center,6/15/23,0,400,0,0,0,0,0
Panel,Before,125,Edge,6/15/23,0,0,0,0,400,0,0
Panel,Before,125,Center,6/15/23,0,400,0,0,0,0,0
Control,Before,128,Edge,6/15/23,0,0,0,0,0,200,0
Control,Before,128,Center,6/15/23,0,390,10,0,0,0,0
Control,Before,131,Edge,6/15/23,0,150,0,0,100,50,0
Control,Before,131,Center,6/15/23,0,400,0,0,0,0,0
Control,Before,132,Edge,6/15/23,0,70,170,0,120,40,0
Control,Before,132,Center,6/15/23,0,390,10,0,0,0,0
Panel,Construction,123,Edge,7/28/23,0,0,0,0,0,370,0
Panel,Construction,123,Center,7/28/23,0,400,0,0,0,0,0
Panel,Construction,124,Edge,7/28/23,0,0,270,0,0,130,0
Panel,Construction,124,Center,7/28/23,0,400,0,0,0,0,0
Panel,Construction,125,Edge,7/28/23,130,0,170,0,0,0,0
Panel,Construction,125,Center,7/28/23,0,400,0,0,0,0,0
Control,Construction,128,Edge,7/28/23,0,200,0,0,0,0,0
Control,Construction,128,Center,7/28/23,0,380,0,0,0,0,0
Control,Construction,131,Edge,7/28/23,0,0,0,0,0,100,0
Control,Construction,131,Center,7/28/23,10,390,0,0,0,0,0
Control,Construction,132,Edge,7/28/23,125,0,200,0,0,75,0
Control,Construction,132,Center,7/28/23,0,400,0,0,0,0,0
Panel,Construction,123,Edge,9/13/23,0,0,5,0,0,375,0
Panel,Construction,123,Center,9/13/23,0,399,1,0,0,0,0
Panel,Construction,124,Edge,9/13/23,0,0,300,0,0,100,0
Panel,Construction,124,Center,9/13/23,0,400,0,0,0,0,0
Panel,Construction,125,Edge,9/13/23,43,243,93,0,0,0,0
Panel,Construction,125,Center,9/13/23,21,359,20,0,0,0,0
Control,Construction,128,Edge,9/13/23,0,70,30,0,0,140,0
Control,Construction,128,Center,9/13/23,0,205,105,0,0,0,0
Control,Construction,131,Edge,9/13/23,0,120,30,0,0,0,0
Control,Construction,131,Center,9/13/23,0,395,5,0,0,0,0
Control,Construction,132,Edge,9/13/23,0,0,230,0,0,170,0
Control,Construction,132,Center,9/13/23,0,0,400,0,0,0,0
Panel,After,123,Edge,6/20/24,0,90,120,0,0,190,0
Panel,After,123,Center,6/20/24,0,400,0,0,0,0,0
Panel,After,124,Edge,6/20/24,0,200,100,0,0,0,0
Panel,After,124,Center,6/20/24,0,400,0,0,0,0,0
Panel,After,125,Edge,6/20/24,0,0,380,0,0,0,20
Panel,After,125,Center,6/20/24,20,290,0,0,0,90,0
Control,After,128,Edge,6/20/24,0,0,285,0,0,0,115
Control,After,128,Center,6/20/24,5,385,10,0,0,0,0
Control,After,131,Edge,6/20/24,355,0,10,0,0,0,35
Control,After,131,Center,6/20/24,0,390,10,0,0,0,0
Control,After,132,Edge,6/20/24,0,250,100,0,0,50,0
Control,After,132,Center,6/20/24,0,400,0,0,0,0,0
Panel,After,123,Edge,7/11/24,0,75,75,240,0,0,10
Panel,After,123,Center,7/11/24,0,400,0,0,0,0,0
Panel,After,124,Edge,7/11/24,60,90,100,145,0,0,5
Panel,After,124,Center,7/11/24,0,400,0,0,0,0,0
Panel,After,125,Edge,7/11/24,0,50,290,0,0,0,60
Panel,After,125,Center,7/11/24,100,260,40,0,0,0,0
Control,After,128,Edge,7/11/24,0,80,280,40,0,0,0
Control,After,128,Center,7/11/24,0,400,0,0,0,0,0
Control,After,131,Edge,7/11/24,180,220,0,0,0,0,0
Control,After,131,Center,7/11/24,0,400,0,0,0,0,0
Control,After,132,Edge,7/11/24,0,225,40,135,0,0,0
Control,After,132,Center,7/11/24,0,400,0,0,0,0,0
Panel,After,123,Edge,8/15/24,0,133,10,218,0,0,38
Panel,After,123,Center,8/15/24,0,400,0,0,0,0,0
Panel,After,124,Edge,8/15/24,0,180,120,100,0,0,0
Panel,After,124,Center,8/15/24,0,100,0,0,0,0,0
Panel,After,125,Edge,8/15/24,120,190,90,0,0,0,0
Panel,After,125,Center,8/15/24,80,320,0,0,0,0,0
Control,After,128,Edge,8/15/24,50,60,290,0,0,0,0
Control,After,128,Center,8/15/24,0,320,80,0,0,0,0
Control,After,131,Edge,8/15/24,15,205,50,130,0,0,0
Control,After,131,Center,8/15/24,0,400,0,0,0,0,0
Control,After,132,Edge,8/15/24,0,0,101,299,0,0,0
Control,After,132,Center,8/15/24,0,400,0,0,0,0,0
